2025-06-28 12:02:50,687 [WARNING] Thread-1 (camera_stream_thread): pyzed not found. Using webcam as fallback.
2025-06-28 12:02:50,691 [INFO] Thread-4 (depth_analyzer_thread): DepthAnalyzer initialized. Obstacle threshold: 2000 mm
2025-06-28 12:02:50,693 [INFO] Thread-5 (road_processor_thread): RoadProcessor initialized. Default speed: 30 km/h
2025-06-28 12:02:50,694 [INFO] MainThread: Tüm iş parçacıkları başlatıldı. Çıkmak için Ctrl+C.
2025-06-28 12:02:50,696 [INFO] Thread-6 (direction_controller_thread): DirectionController initialized.
2025-06-28 12:02:50,696 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:50,797 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:50,899 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,000 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,120 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,186 [INFO] Thread-3 (lane_detector_thread): LaneDetector initialized. YOLOv8 segmentation model loaded from models/serit.pt
2025-06-28 12:02:51,189 [INFO] Thread-2 (yolo_processor_thread): YoloProcessor initialized. YOLOv8 model loaded from models/tabela.pt
2025-06-28 12:02:51,222 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,322 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,423 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,524 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,625 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,725 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,826 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:51,927 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,028 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,129 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,229 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,330 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,431 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,531 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,632 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,697 [INFO] Thread-7 (arduino_communicator_thread): Successfully connected to Arduino on COM3
2025-06-28 12:02:52,697 [INFO] Thread-7 (arduino_communicator_thread): ArduinoCommunicator initialized for port COM3 at 9600 baud.
2025-06-28 12:02:52,733 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,834 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:52,934 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,035 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,136 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,236 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,338 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,439 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,540 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,641 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,742 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,844 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:53,945 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,046 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,147 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,248 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,348 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,449 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,551 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,652 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,753 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,855 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
2025-06-28 12:02:54,956 [INFO] Thread-6 (direction_controller_thread): DirectionController: Steering: 0 deg, Speed: 30 km/h, Status: Düz
